gene_id	transcript_id(s)	AtlanticSalmon_RNA_Gill_Immature_Female_R1	AtlanticSalmon_RNA_Gill_Immature_Female_R2	AtlanticSalmon_RNA_Gill_Immature_Female_R3	AtlanticSalmon_RNA_Gill_Immature_Male_R1	AtlanticSalmon_RNA_Gill_Immature_Male_R2	AtlanticSalmon_RNA_Gill_Immature_Male_R3	AtlanticSalmon_RNA_Gill_Mature_Female_R1	AtlanticSalmon_RNA_Gill_Mature_Female_R2	AtlanticSalmon_RNA_Gill_Mature_Female_R3	AtlanticSalmon_RNA_Gill_Mature_Male_R1	AtlanticSalmon_RNA_Gill_Mature_Male_R2	AtlanticSalmon_RNA_Gill_Mature_Male_R3
ENSSSAG00000000040	ENSSSAT00000000040,ENSSSAT00000158143,ENSSSAT00000197579,ENSSSAT00000219342	3.97	5.20	5.52	4.87	3.48	3.24	7.91	5.92	7.02	7.04	5.77	7.64
ENSSSAG00000000041	ENSSSAT00000000041	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000044	ENSSSAT00000000051	0.05	0.03	0.19	0.08	0.12	0.05	0.12	0.50	0.22	0.12	0.02	0.18
ENSSSAG00000000048	ENSSSAT00000000056,ENSSSAT00000000058,ENSSSAT00000000059,ENSSSAT00000000060,ENSSSAT00000233067	2.33	2.26	2.08	3.19	3.96	1.64	3.72	3.49	4.60	2.14	1.79	2.51
ENSSSAG00000000049	ENSSSAT00000000061	5.44	7.72	9.84	7.33	7.24	8.54	8.25	9.52	8.68	6.85	8.43	6.99
ENSSSAG00000000051	ENSSSAT00000000064,ENSSSAT00000181079,ENSSSAT00000194671,ENSSSAT00000200218,ENSSSAT00000235262,ENSSSAT00000239238	21.81	18.15	22.49	16.10	18.55	20.36	13.02	15.48	19.16	15.54	12.99	20.57
ENSSSAG00000000052	ENSSSAT00000000066,ENSSSAT00000230849,ENSSSAT00000242780	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.02	0.17	0.15	0.14	0.00
ENSSSAG00000000055	ENSSSAT00000000069	0.11	0.00	0.23	0.06	0.24	0.00	0.06	0.06	0.00	0.00	0.53	0.18
ENSSSAG00000000057	ENSSSAT00000000071,ENSSSAT00000000072	17.85	25.48	25.31	27.87	21.38	18.31	18.83	26.86	25.92	25.60	26.70	24.21
ENSSSAG00000000059	ENSSSAT00000000082,ENSSSAT00000000085	0.05	0.03	0.03	0.03	0.08	0.02	0.13	0.06	0.16	0.11	0.02	0.02
ENSSSAG00000000063	ENSSSAT00000000093,ENSSSAT00000178006,ENSSSAT00000196236	5.17	7.67	5.98	6.89	6.46	7.63	8.53	8.98	8.35	7.70	8.66	6.42
ENSSSAG00000000065	ENSSSAT00000000097,ENSSSAT00000000098,ENSSSAT00000166332,ENSSSAT00000205880,ENSSSAT00000251405	0.10	0.48	0.00	3.78	0.00	3.82	12.63	0.56	9.93	0.29	3.11	6.64
ENSSSAG00000000067	ENSSSAT00000191367	0.26	0.51	0.73	1.16	1.47	0.47	0.95	2.89	1.00	1.38	0.58	0.60
ENSSSAG00000000069	ENSSSAT00000000102,ENSSSAT00000000103,ENSSSAT00000188433,ENSSSAT00000236380	0.10	0.18	0.13	0.10	0.13	0.00	0.23	0.08	0.29	0.26	0.13	0.03
ENSSSAG00000000073	ENSSSAT00000000108,ENSSSAT00000000109,ENSSSAT00000159604,ENSSSAT00000173271,ENSSSAT00000185150,ENSSSAT00000190668,ENSSSAT00000253112,ENSSSAT00000253728	2.16	2.56	5.48	3.03	4.61	3.68	3.67	2.24	5.68	5.60	3.06	2.03
ENSSSAG00000000075	ENSSSAT00000000111,ENSSSAT00000000112,ENSSSAT00000000113,ENSSSAT00000000114,ENSSSAT00000000115,ENSSSAT00000000116,ENSSSAT00000000117,ENSSSAT00000000118	2.61	2.83	3.74	2.39	2.91	2.74	2.59	3.21	4.72	2.84	1.82	3.82
ENSSSAG00000000076	ENSSSAT00000000119	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000077	ENSSSAT00000000120,ENSSSAT00000000121,ENSSSAT00000000122,ENSSSAT00000000123	4.78	3.33	2.83	1.61	3.24	4.55	4.27	18.71	7.66	4.70	5.46	4.18
ENSSSAG00000000078	ENSSSAT00000000125	12.67	10.59	11.92	11.22	6.95	10.79	12.93	12.75	8.32	9.92	10.16	7.74
ENSSSAG00000000079	ENSSSAT00000000126,ENSSSAT00000228057	17.85	17.65	15.33	12.60	14.21	12.99	11.15	14.01	13.24	12.57	13.76	13.24
ENSSSAG00000000080	ENSSSAT00000000127,ENSSSAT00000000128,ENSSSAT00000000129	13.64	16.52	15.94	16.08	15.33	18.09	17.86	19.25	20.40	16.71	14.19	16.27
ENSSSAG00000000082	ENSSSAT00000000133,ENSSSAT00000000134,ENSSSAT00000000135	8.28	12.54	14.06	12.05	14.47	7.69	22.99	12.66	26.05	14.30	7.00	6.77
ENSSSAG00000000083	ENSSSAT00000000136	0.17	0.16	0.12	0.12	0.40	0.15	0.44	0.09	0.16	0.51	0.29	0.21
ENSSSAG00000000085	ENSSSAT00000000138,ENSSSAT00000181392	7.10	7.29	11.17	14.26	7.85	16.04	7.46	25.87	15.24	15.99	14.93	24.01
ENSSSAG00000000089	ENSSSAT00000108939,ENSSSAT00000162697,ENSSSAT00000244545	0.16	0.21	0.60	0.32	0.79	0.20	0.40	0.92	0.33	0.60	0.44	0.12
ENSSSAG00000000090	ENSSSAT00000000146,ENSSSAT00000000147,ENSSSAT00000000148,ENSSSAT00000232459	12.69	15.66	24.77	29.86	20.79	27.35	15.70	32.61	17.55	23.02	42.25	28.69
ENSSSAG00000000091	ENSSSAT00000000150,ENSSSAT00000108728,ENSSSAT00000186088	4.36	7.19	6.03	6.88	9.35	6.46	7.10	10.77	13.61	4.76	5.07	5.28
ENSSSAG00000000094	ENSSSAT00000000154,ENSSSAT00000000156,ENSSSAT00000000157,ENSSSAT00000000158,ENSSSAT00000098469,ENSSSAT00000174826,ENSSSAT00000240056	0.56	0.79	1.28	0.95	1.20	0.42	0.69	0.97	1.02	0.39	0.70	1.22
ENSSSAG00000000096	ENSSSAT00000000160,ENSSSAT00000000161,ENSSSAT00000000162,ENSSSAT00000222234	29.92	25.27	31.21	25.36	28.96	30.27	28.74	27.14	23.82	28.04	27.34	39.13
ENSSSAG00000000097	ENSSSAT00000000163,ENSSSAT00000163376	0.50	0.43	1.07	0.41	0.62	0.36	0.42	0.48	0.11	0.34	0.45	0.26
ENSSSAG00000000100	ENSSSAT00000000167	0.00	0.02	0.00	0.01	0.00	0.00	0.01	0.00	0.03	0.00	0.02	0.00
ENSSSAG00000000105	ENSSSAT00000000173	25.31	30.15	33.02	24.56	30.21	27.91	30.90	26.85	30.02	30.93	24.30	29.64
ENSSSAG00000000106	ENSSSAT00000000174	2.17	1.68	1.49	1.52	2.65	2.68	0.98	2.17	1.98	1.54	0.84	0.71
ENSSSAG00000000108	ENSSSAT00000000177,ENSSSAT00000188880	1.56	1.71	1.38	1.36	1.18	1.50	1.61	1.81	1.60	1.53	1.29	1.85
ENSSSAG00000000109	ENSSSAT00000000178	4.37	6.50	6.17	12.42	10.29	6.96	11.06	9.25	11.66	7.84	6.87	3.29
ENSSSAG00000000110	ENSSSAT00000000188,ENSSSAT00000000196,ENSSSAT00000151894,ENSSSAT00000151911	0.77	1.52	1.55	1.76	2.28	1.45	1.42	1.75	1.51	1.77	0.71	0.96
ENSSSAG00000000113	ENSSSAT00000000182,ENSSSAT00000000184,ENSSSAT00000110452	0.57	0.57	1.04	1.17	0.38	0.10	0.33	0.42	0.00	0.00	0.32	0.34
ENSSSAG00000000114	ENSSSAT00000000183,ENSSSAT00000000186,ENSSSAT00000000195,ENSSSAT00000000199,ENSSSAT00000064110	97.92	111.57	121.37	99.67	106.46	82.72	102.16	84.10	97.54	101.25	101.70	66.31
ENSSSAG00000000115	ENSSSAT00000000185	0.39	0.16	0.30	0.37	0.52	0.10	0.20	0.34	0.28	0.20	0.35	0.37
ENSSSAG00000000122	ENSSSAT00000000197	3.54	3.50	5.87	5.35	2.93	3.87	2.22	3.35	3.67	3.10	4.70	2.69
ENSSSAG00000000128	ENSSSAT00000000228,ENSSSAT00000000231,ENSSSAT00000000236,ENSSSAT00000193833	70.74	69.75	69.25	58.93	68.49	68.69	62.58	66.42	68.77	58.73	64.38	79.83
ENSSSAG00000000130	ENSSSAT00000000206,ENSSSAT00000000213,ENSSSAT00000000219,ENSSSAT00000110862,ENSSSAT00000110903,ENSSSAT00000110920,ENSSSAT00000228773	0.26	0.51	0.09	0.35	0.58	0.17	0.19	0.31	1.03	0.47	0.15	0.44
ENSSSAG00000000131	ENSSSAT00000000209,ENSSSAT00000000210,ENSSSAT00000000211	14.62	15.03	12.38	12.04	13.78	13.85	10.31	14.26	11.29	18.44	16.10	16.04
ENSSSAG00000000132	ENSSSAT00000000205	0.00	0.02	0.02	0.00	0.00	0.00	0.09	0.02	0.00	0.05	0.02	0.00
ENSSSAG00000000133	ENSSSAT00000000208	0.32	1.40	0.65	1.15	0.68	0.54	0.38	0.75	0.36	0.71	0.60	0.28
ENSSSAG00000000136	ENSSSAT00000000216	0.00	0.06	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000137	ENSSSAT00000000234	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00
ENSSSAG00000000139	ENSSSAT00000000274,ENSSSAT00000189114,ENSSSAT00000196793,ENSSSAT00000241898,ENSSSAT00000252542	3.48	2.68	2.95	2.75	2.74	3.50	2.96	2.80	4.38	1.84	1.85	4.10
ENSSSAG00000000140	ENSSSAT00000000238	5.28	8.97	7.74	7.53	9.28	6.22	9.31	9.69	10.15	8.17	5.98	6.72
ENSSSAG00000000141	ENSSSAT00000000250,ENSSSAT00000000260,ENSSSAT00000000266,ENSSSAT00000000267	2.35	2.87	3.17	1.98	2.65	2.14	1.60	2.13	1.85	2.81	1.60	3.20
ENSSSAG00000000142	ENSSSAT00000000227,ENSSSAT00000000229,ENSSSAT00000000232,ENSSSAT00000201284	0.28	0.21	0.49	0.41	0.41	0.17	0.45	0.79	0.22	0.11	0.20	0.21
ENSSSAG00000000145	ENSSSAT00000000230	0.76	1.09	1.82	1.57	1.43	2.92	0.92	0.00	1.66	0.00	3.92	1.08
ENSSSAG00000000146	ENSSSAT00000000235,ENSSSAT00000000246	0.00	0.00	0.00	0.00	0.03	0.00	0.03	0.00	0.00	0.06	0.03	0.00
ENSSSAG00000000147	ENSSSAT00000000237	3.02	1.76	2.65	2.11	1.07	3.08	1.63	1.51	2.40	0.70	0.75	1.96
ENSSSAG00000000149	ENSSSAT00000000242,ENSSSAT00000221085	9.56	9.60	9.02	9.04	11.64	8.95	10.94	10.58	10.04	11.10	9.54	11.36
ENSSSAG00000000151	ENSSSAT00000000245,ENSSSAT00000166544	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000152	ENSSSAT00000000248,ENSSSAT00000165747,ENSSSAT00000235919	1.25	0.91	1.47	0.88	0.96	1.52	1.02	0.53	1.71	0.65	0.74	1.62
ENSSSAG00000000153	ENSSSAT00000000251	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000154	ENSSSAT00000000249	1.68	1.83	1.32	0.69	1.45	1.41	0.54	1.46	1.34	1.49	0.76	0.32
ENSSSAG00000000156	ENSSSAT00000000254,ENSSSAT00000011083,ENSSSAT00000241690,ENSSSAT00000248262	17.40	17.17	7.82	160.34	68.52	28.29	225.19	0.16	212.01	95.10	0.55	7.30
ENSSSAG00000000157	ENSSSAT00000000270,ENSSSAT00000000275,ENSSSAT00000000294,ENSSSAT00000000303	1.37	3.89	2.33	6.60	1.31	3.80	3.75	2.14	1.59	0.70	2.12	1.70
ENSSSAG00000000159	ENSSSAT00000000256	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000160	ENSSSAT00000000279,ENSSSAT00000000281,ENSSSAT00000175516,ENSSSAT00000199602,ENSSSAT00000200986,ENSSSAT00000232142,ENSSSAT00000232828	0.00	0.19	0.44	0.19	0.19	0.06	0.30	0.00	0.81	0.18	0.24	0.25
ENSSSAG00000000161	ENSSSAT00000000263	13.98	13.79	13.11	9.25	9.88	12.93	12.21	12.39	13.21	15.07	11.82	15.58
ENSSSAG00000000163	ENSSSAT00000000310,ENSSSAT00000000317,ENSSSAT00000000335,ENSSSAT00000000352,ENSSSAT00000000375,ENSSSAT00000000400,ENSSSAT00000000407,ENSSSAT00000000411	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00
ENSSSAG00000000164	ENSSSAT00000000261	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000165	ENSSSAT00000000277,ENSSSAT00000133002,ENSSSAT00000151290,ENSSSAT00000199737,ENSSSAT00000207168,ENSSSAT00000226744	0.25	0.08	0.97	0.54	0.62	0.44	1.12	0.08	1.41	0.22	0.14	1.28
ENSSSAG00000000166	ENSSSAT00000000268,ENSSSAT00000018778	47.49	48.94	44.20	33.04	39.03	38.99	29.13	48.43	36.99	32.52	37.65	36.62
ENSSSAG00000000167	ENSSSAT00000000271	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000169	ENSSSAT00000000282,ENSSSAT00000177965	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000170	ENSSSAT00000000285	2.50	3.32	3.74	3.56	4.78	3.22	5.17	4.20	4.90	3.54	2.91	3.23
ENSSSAG00000000172	ENSSSAT00000000348,ENSSSAT00000000362,ENSSSAT00000254605	10.44	13.13	13.22	10.82	11.06	13.17	11.89	13.15	13.78	10.91	8.01	17.50
ENSSSAG00000000174	ENSSSAT00000000305,ENSSSAT00000000307,ENSSSAT00000000311,ENSSSAT00000000321,ENSSSAT00000000329,ENSSSAT00000000331	10.27	8.48	2.53	30.70	17.45	8.28	41.98	0.16	54.05	39.36	0.32	2.43
ENSSSAG00000000176	ENSSSAT00000000319,ENSSSAT00000000338	0.30	0.28	0.36	0.24	0.12	0.17	0.45	0.37	0.19	0.77	0.21	0.21
ENSSSAG00000000177	ENSSSAT00000000288,ENSSSAT00000000292	22.05	19.21	21.03	21.07	20.24	21.52	23.55	22.17	16.67	18.30	19.21	32.86
ENSSSAG00000000179	ENSSSAT00000000290	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000181	ENSSSAT00000000349,ENSSSAT00000128223	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
ENSSSAG00000000186	ENSSSAT00000000354,ENSSSAT00000237697	13.97	15.27	9.88	14.78	14.12	10.68	19.45	9.08	13.94	15.75	18.12	9.48
ENSSSAG00000000188	ENSSSAT00000000384,ENSSSAT00000000395,ENSSSAT00000000421,ENSSSAT00000000427,ENSSSAT00000065933	3.58	5.21	5.09	4.55	6.28	3.49	6.67	8.87	8.49	4.84	5.11	6.17
ENSSSAG00000000189	ENSSSAT00000000308	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000191	ENSSSAT00000250669	0.21	0.17	0.53	0.56	0.28	0.74	0.54	0.58	0.18	0.27	0.59	0.22
ENSSSAG00000000192	ENSSSAT00000000313,ENSSSAT00000171887	1.91	1.45	2.29	1.93	2.34	2.12	2.31	1.89	3.01	2.21	1.41	2.08
ENSSSAG00000000193	ENSSSAT00000000315	7.42	8.95	6.28	6.56	4.49	5.47	7.87	7.15	7.28	9.61	6.65	6.82
ENSSSAG00000000195	ENSSSAT00000000357	0.48	1.33	0.93	1.05	0.90	0.92	0.62	1.10	0.69	0.94	1.30	1.17
ENSSSAG00000000199	ENSSSAT00000000328,ENSSSAT00000000330	2.18	4.52	3.64	2.30	3.63	2.41	2.80	3.94	4.87	2.21	2.98	1.64
ENSSSAG00000000202	ENSSSAT00000000345,ENSSSAT00000076212,ENSSSAT00000076217	8.62	9.17	9.42	8.47	9.18	8.03	6.89	7.89	8.04	11.54	8.03	5.67
ENSSSAG00000000205	ENSSSAT00000000353,ENSSSAT00000000364,ENSSSAT00000000388,ENSSSAT00000000404,ENSSSAT00000000410	4.02	5.79	5.55	5.46	4.47	6.67	5.43	5.10	11.56	4.83	4.97	4.02
ENSSSAG00000000210	ENSSSAT00000000360,ENSSSAT00000087058,ENSSSAT00000178940,ENSSSAT00000222954,ENSSSAT00000224833,ENSSSAT00000232240,ENSSSAT00000241725	2.80	4.21	5.22	4.05	4.83	2.54	4.83	4.91	3.68	8.02	5.74	4.01
ENSSSAG00000000213	ENSSSAT00000000389,ENSSSAT00000201480	26.92	35.14	31.96	49.95	52.96	51.88	41.20	56.65	63.61	33.54	47.99	33.61
ENSSSAG00000000214	ENSSSAT00000000358,ENSSSAT00000163057,ENSSSAT00000192115	4.22	9.39	8.25	1.44	7.97	2.97	3.85	1.92	2.69	7.69	0.00	5.10
ENSSSAG00000000215	ENSSSAT00000000787,ENSSSAT00000000811,ENSSSAT00000000825,ENSSSAT00000000907,ENSSSAT00000000939,ENSSSAT00000000969,ENSSSAT00000174501	8.46	14.01	12.28	12.31	16.46	8.41	19.02	15.83	26.05	16.41	9.42	7.00
ENSSSAG00000000220	ENSSSAT00000000366	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000221	ENSSSAT00000000368	1.90	2.03	1.58	4.50	3.36	3.51	3.37	0.36	3.41	8.33	1.28	1.08
ENSSSAG00000000227	ENSSSAT00000000381,ENSSSAT00000203818	3.26	2.43	3.18	2.07	2.87	3.50	2.97	3.50	3.47	1.59	2.62	3.56
ENSSSAG00000000230	ENSSSAT00000000383	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000233	ENSSSAT00000000401	0.65	0.00	0.74	0.43	0.14	0.13	0.14	0.20	0.38	0.07	0.00	0.42
ENSSSAG00000000236	ENSSSAT00000000394	0.52	0.34	1.09	0.90	0.47	0.78	0.43	0.56	0.50	0.67	0.97	1.04
ENSSSAG00000000238	ENSSSAT00000000539,ENSSSAT00000000571,ENSSSAT00000000583,ENSSSAT00000000591	4.30	5.32	5.87	6.55	5.99	5.08	6.92	6.10	5.91	6.11	5.76	4.95
ENSSSAG00000000240	ENSSSAT00000000455,ENSSSAT00000000464,ENSSSAT00000000470,ENSSSAT00000000473,ENSSSAT00000128949	13.47	11.92	13.74	9.88	10.81	12.51	9.28	11.53	12.55	9.45	13.20	14.18
ENSSSAG00000000241	ENSSSAT00000000429,ENSSSAT00000000437	2.55	1.54	2.21	3.03	2.88	3.04	2.51	2.63	2.62	3.03	2.70	2.35
ENSSSAG00000000242	ENSSSAT00000000397,ENSSSAT00000000408,ENSSSAT00000000420	0.97	1.59	1.92	1.63	2.55	0.74	2.47	1.92	3.47	1.58	1.17	1.20
ENSSSAG00000000243	ENSSSAT00000000398,ENSSSAT00000000409,ENSSSAT00000000422,ENSSSAT00000230045,ENSSSAT00000240909	2.84	2.72	2.28	3.35	3.41	3.45	2.84	2.10	3.92	3.45	2.14	1.45
ENSSSAG00000000244	ENSSSAT00000000399	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000248	ENSSSAT00000000406,ENSSSAT00000221050,ENSSSAT00000231671,ENSSSAT00000237215	2.58	2.16	2.83	2.07	2.57	3.41	2.19	1.99	2.52	1.33	2.03	2.50
ENSSSAG00000000249	ENSSSAT00000000419,ENSSSAT00000000423,ENSSSAT00000000428	5.45	6.24	4.88	5.61	5.48	5.53	5.71	6.16	5.25	5.31	6.21	5.64
ENSSSAG00000000250	ENSSSAT00000000467,ENSSSAT00000000480,ENSSSAT00000010438,ENSSSAT00000010454,ENSSSAT00000166157,ENSSSAT00000181475,ENSSSAT00000186973,ENSSSAT00000239989	0.28	0.37	0.21	0.30	0.48	0.28	0.39	0.35	0.44	0.51	0.21	0.39
ENSSSAG00000000252	ENSSSAT00000000457,ENSSSAT00000000510,ENSSSAT00000000527,ENSSSAT00000000593,ENSSSAT00000000614,ENSSSAT00000000637,ENSSSAT00000000653	0.40	0.73	1.44	1.03	1.29	0.96	1.22	0.61	1.80	0.73	0.39	0.22
ENSSSAG00000000255	ENSSSAT00000000431,ENSSSAT00000013095,ENSSSAT00000162254	8.97	9.20	10.21	11.46	13.14	9.10	9.53	8.44	8.07	9.38	10.72	4.00
ENSSSAG00000000256	ENSSSAT00000000432,ENSSSAT00000000436,ENSSSAT00000129665	3.98	9.07	6.94	7.78	10.54	7.48	8.83	11.46	12.66	8.28	9.18	8.45
ENSSSAG00000000258	ENSSSAT00000000775,ENSSSAT00000000826,ENSSSAT00000000863,ENSSSAT00000000872,ENSSSAT00000161842,ENSSSAT00000186304,ENSSSAT00000194077,ENSSSAT00000210191,ENSSSAT00000242688	9.31	9.17	10.14	8.10	10.15	9.08	7.03	8.33	6.89	9.86	6.91	8.36
ENSSSAG00000000262	ENSSSAT00000000448,ENSSSAT00000000460,ENSSSAT00000074482	16.28	11.44	15.10	13.41	15.03	14.75	15.09	15.70	12.25	14.11	11.76	14.49
ENSSSAG00000000265	ENSSSAT00000000743,ENSSSAT00000000751,ENSSSAT00000000760,ENSSSAT00000000778,ENSSSAT00000000798,ENSSSAT00000000817,ENSSSAT00000000824,ENSSSAT00000000844,ENSSSAT00000000851	1.53	1.87	1.72	1.82	0.97	1.97	1.64	1.50	2.19	1.95	1.98	1.52
ENSSSAG00000000269	ENSSSAT00000000451	5.69	5.12	3.80	3.29	4.28	5.13	3.63	4.35	6.01	5.69	4.05	4.41
ENSSSAG00000000270	ENSSSAT00000000443,ENSSSAT00000214952	11.11	10.44	8.91	10.76	10.24	10.31	10.84	8.83	11.32	9.88	8.90	10.43
ENSSSAG00000000272	ENSSSAT00000196534	84.27	123.67	61.57	96.55	101.68	95.19	101.74	133.31	126.21	64.58	117.10	73.28
ENSSSAG00000000273	ENSSSAT00000000449,ENSSSAT00000204456	13.51	15.34	14.12	11.22	14.70	11.05	15.24	13.42	13.12	11.01	12.54	10.49
ENSSSAG00000000275	ENSSSAT00000000452	0.25	0.83	0.00	0.14	0.00	0.00	1.42	0.00	0.00	0.00	0.00	0.21
ENSSSAG00000000276	ENSSSAT00000000600,ENSSSAT00000000623,ENSSSAT00000000635,ENSSSAT00000000641,ENSSSAT00000000666,ENSSSAT00000000689,ENSSSAT00000000706,ENSSSAT00000000734,ENSSSAT00000161621,ENSSSAT00000193413	11.05	13.39	14.15	10.56	11.24	12.67	13.07	15.84	15.60	14.17	12.42	15.57
ENSSSAG00000000277	ENSSSAT00000000465	22.52	25.23	22.29	20.76	19.92	16.44	19.50	20.01	21.12	25.19	24.40	20.19
ENSSSAG00000000278	ENSSSAT00000000488,ENSSSAT00000000518,ENSSSAT00000000521,ENSSSAT00000000523,ENSSSAT00000000528,ENSSSAT00000000542,ENSSSAT00000000544,ENSSSAT00000000547,ENSSSAT00000000550	7.47	7.07	5.57	5.61	6.35	4.78	12.89	2.38	7.48	3.25	5.86	1.69
ENSSSAG00000000279	ENSSSAT00000000463,ENSSSAT00000162528	2.49	4.57	4.60	4.49	4.03	3.34	4.42	3.67	4.31	3.54	2.93	3.43
ENSSSAG00000000280	ENSSSAT00000000462,ENSSSAT00000235200	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.08	0.04	0.03	0.00	0.00
ENSSSAG00000000282	ENSSSAT00000000482,ENSSSAT00000010359	4.98	4.91	6.12	5.66	6.32	5.79	4.86	5.92	6.17	5.00	4.12	5.18
ENSSSAG00000000283	ENSSSAT00000000472,ENSSSAT00000156906,ENSSSAT00000160517,ENSSSAT00000230184	0.87	0.66	1.03	1.25	1.20	1.16	1.37	1.20	1.21	0.87	1.31	0.65
ENSSSAG00000000284	ENSSSAT00000000534,ENSSSAT00000000562,ENSSSAT00000000578,ENSSSAT00000000597	23.29	23.64	24.92	20.00	22.46	22.40	24.52	23.31	21.53	23.55	23.63	28.03
ENSSSAG00000000286	ENSSSAT00000000475	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00
ENSSSAG00000000287	ENSSSAT00000000479,ENSSSAT00000113963,ENSSSAT00000209182,ENSSSAT00000230597	45.01	65.62	46.17	45.97	44.76	37.94	48.10	50.94	52.12	44.38	40.26	56.39
ENSSSAG00000000289	ENSSSAT00000000483	0.16	0.00	0.10	0.28	0.17	0.16	0.10	0.26	0.37	0.13	0.10	0.10
ENSSSAG00000000290	ENSSSAT00000000484,ENSSSAT00000167898,ENSSSAT00000177254,ENSSSAT00000180291,ENSSSAT00000195702,ENSSSAT00000202141,ENSSSAT00000223433,ENSSSAT00000239624	3.34	3.45	3.21	2.61	2.70	2.94	3.20	2.84	5.12	3.50	2.57	4.50
ENSSSAG00000000299	ENSSSAT00000000577,ENSSSAT00000000594,ENSSSAT00000000604,ENSSSAT00000000606,ENSSSAT00000000613,ENSSSAT00000000622,ENSSSAT00000186217	8.22	5.91	8.43	8.73	7.62	6.71	5.89	7.83	8.46	6.44	7.23	3.95
ENSSSAG00000000303	ENSSSAT00000000503,ENSSSAT00000252738	4.42	3.60	4.85	2.91	3.00	2.95	4.28	3.18	4.60	6.60	2.90	2.86
ENSSSAG00000000305	ENSSSAT00000000498,ENSSSAT00000000505	20.63	27.65	22.38	22.87	29.90	27.77	23.40	34.88	25.88	27.53	24.19	36.46
ENSSSAG00000000307	ENSSSAT00000000508	2.87	3.12	3.37	3.84	4.45	3.34	4.72	5.06	4.87	2.99	3.24	2.88
ENSSSAG00000000312	ENSSSAT00000000536	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000315	ENSSSAT00000076247,ENSSSAT00000236702,ENSSSAT00000246857	2.33	5.13	3.37	4.96	4.69	2.57	4.47	4.18	1.95	4.52	3.40	3.26
ENSSSAG00000000316	ENSSSAT00000000535,ENSSSAT00000000545	0.54	0.26	0.36	0.00	0.17	0.40	0.32	0.58	0.53	0.48	0.08	0.07
ENSSSAG00000000317	ENSSSAT00000000816,ENSSSAT00000000840,ENSSSAT00000000859	4.40	5.76	3.84	5.88	6.07	3.40	8.22	5.50	6.78	7.93	5.70	3.24
ENSSSAG00000000318	ENSSSAT00000000672,ENSSSAT00000000694,ENSSSAT00000000780,ENSSSAT00000000812	4.54	4.19	5.93	5.65	4.91	5.91	4.46	4.62	5.16	4.06	4.07	6.51
ENSSSAG00000000319	ENSSSAT00000223397	0.19	0.21	0.13	0.28	0.24	0.49	0.16	0.23	0.07	0.56	0.07	0.41
ENSSSAG00000000320	ENSSSAT00000000546,ENSSSAT00000000569,ENSSSAT00000000599,ENSSSAT00000000609,ENSSSAT00000199395,ENSSSAT00000230897	16.44	19.18	22.93	22.06	24.98	23.95	31.52	26.90	29.26	21.08	24.72	24.39
ENSSSAG00000000322	ENSSSAT00000000533,ENSSSAT00000000555,ENSSSAT00000185967	4.51	3.88	2.58	3.67	2.51	3.00	3.26	3.82	3.11	4.15	3.21	2.84
ENSSSAG00000000326	ENSSSAT00000000561,ENSSSAT00000072327	7.44	9.02	6.44	4.80	7.01	7.04	6.28	7.72	6.27	5.94	6.45	7.70
